,"∆RF-1/2/3/, ∆RRF, ∆EF-G_1","∆RF-1/2/3/, ∆RRF_1",∆RF-1/2/3/_1,∆RF-1/3_1,∆RF-2/3_1,"∆RF-3, ∆RRF_1","∆RF-3, ∆EF-G_1",∆RF-3_1,"∆RF-1/2/3/, ∆RRF, ∆EF-G_2","∆RF-1/2/3/, ∆RRF_2",∆RF-1/2/3/_2,∆RF-1/3_2,∆RF-2/3_2,"∆RF-3, ∆RRF_2","∆RF-3, ∆EF-G_2",∆RF-3_2,"∆RF-1/2/3/, ∆RRF, ∆EF-G_3","∆RF-1/2/3/, ∆RRF_3",∆RF-1/2/3/_3,∆RF-1/3_3,∆RF-2/3_3,"∆RF-3, ∆RRF_3","∆RF-3, ∆EF-G_3",∆RF-3_3,RF-1/2 >> prfA_1,RRF >> frr_1,EF-G >> fusA_1,"RRF >> frr, EF-G >>fusA_1","RF-1/2 >> prfA, RRF >> frr_1","EF-G >> fusA, RF-1/2 >> prfA_1","RF-1/2 >> prfA, RRF >> frr, EF-G >>fusA_1",RF-1/2 >> prfA_2,RRF >> frr_2,EF-G >> fusA_2,"RRF >> frr, EF-G >>fusA_2","RF-1/2 >> prfA, RRF >> frr_2","EF-G >> fusA, RF-1/2 >> prfA_2","RF-1/2 >> prfA, RRF >> frr, EF-G >>fusA_2",RF-1/2 >> prfA_3,RRF >> frr_3,EF-G >> fusA_3,"RRF >> frr, EF-G >>fusA_3","RF-1/2 >> prfA, RRF >> frr_3","EF-G >> fusA, RF-1/2 >> prfA_3","RF-1/2 >> prfA, RRF >> frr, EF-G >>fusA_3"
215,4893.52,15376.26697,21678.34243,46467.99164,52930.41063,24781.1802,4716.57898,53140.93224,4911.68125,15074.59504,19453.85703,41165.33818,50859.00472,25693.81974,5101.47834,55352.36238,5080.53008,14947.05195,18018.49895,35826.50676,46021.10469,24687.92766,4761.92599,53664.23682,56735.38695,25797.69966,34544.82104,35257.39605,29609.96394,34542.47224,47068.59856,59591.9744,27294.22027,32565.49112,36574.2437,30651.12384,34222.19906,47426.84222,57801.7271,26231.06648,32137.22952,32076.03173,28848.0889,30298.27672,44728.55236
216,4904.50667,15444.75566,21740.11414,46516.99721,52966.80354,24766.3934,4696.85966,53216.31075,4934.56042,15126.53168,19507.61901,41320.11273,50929.66824,25805.60658,5096.49278,55370.12079,5072.84336,14952.68398,18033.49965,35964.16892,45997.36823,24714.30922,4767.30866,53600.07894,56768.12898,25871.89989,34580.60701,35299.13202,29652.98798,34678.82408,46865.86619,59520.99147,27290.07342,32515.16371,36656.08123,30677.04128,34276.73302,47462.28074,57835.90903,26221.68883,32076.74317,32129.67724,28930.36297,30304.75891,44784.18412
217,4920.83556,15509.91855,21733.70471,46550.3324,52951.26785,24728.46447,4658.95322,53189.43692,4949.85347,15262.51056,19592.53967,41271.70424,50803.55608,25884.20219,5110.16426,55418.3736,5050.94779,14998.89466,18077.16655,36196.05631,46181.78941,24785.76974,4761.76955,53531.35965,56669.37633,25840.96663,34716.869,35420.37734,29812.99599,34732.94136,46872.62206,59523.99716,27352.02447,32523.72124,36661.36041,30741.34709,34362.91101,47584.09358,57837.30301,26223.89628,32181.91439,32220.89241,28983.12099,30353.25297,44855.06137
218,4922.61185,15550.63952,21695.2349,46513.77747,52784.08928,24685.48816,4665.31774,53263.47897,4919.28449,15284.50352,19605.17989,41330.23475,50863.85203,25853.0674,5104.05475,55436.7912,5050.9826,15013.29822,18123.72218,36130.68544,46238.26314,24841.92325,4748.58985,53675.11988,56392.79211,25663.98888,34831.28967,35652.79245,29908.99866,34641.64712,46886.54069,59625.33239,27551.34149,32681.57375,36651.12014,30781.78236,34372.30367,47492.36453,57823.76767,26261.29876,32259.3048,32278.96414,28981.707,30377.41766,44924.02046
219,4917.53728,15596.54651,21703.41163,46440.59249,52714.02976,24670.16272,4673.77258,53336.49299,4906.09483,15245.83451,19608.72663,41335.74492,50911.95068,25764.68913,5110.01825,55404.59707,5061.66087,14975.43274,18126.90739,35980.22848,46245.42105,24855.64108,4771.86328,53809.03996,56235.9307,25533.66296,34794.09656,35763.26415,29991.66622,34647.21571,46728.18023,59652.44413,27626.44716,32767.19125,36725.04005,30736.59412,34347.43456,47456.45484,57858.92256,26327.09959,32187.76827,32268.98805,28969.23567,30349.13922,44932.34015
220,4905.17909,15603.84884,21731.47054,46411.1975,52855.67659,24705.38757,4689.59086,53182.831,4916.03161,15160.6115,19615.24221,41231.91497,50976.98356,25799.89638,5121.00608,55462.53236,5043.55362,14957.47758,18105.6358,36062.74283,46294.14035,24852.88036,4782.28776,53800.34665,56274.64357,25587.55432,34848.03219,35740.08805,30010.22207,34637.0719,46806.72674,59639.48138,27555.48239,32748.73042,36815.68002,30735.53137,34323.14485,47459.48495,57849.97419,26295.69986,32134.58942,32216.32935,28954.41189,30324.37974,44817.44672
221,4900.39303,15594.61628,21791.82351,46431.7325,52929.8922,24706.79586,4692.86362,53157.94367,4930.01054,15150.8705,19635.7474,41299.30499,51024.99452,25854.29879,5141.33536,55426.17745,5033.18454,14995.15919,18144.21193,36221.91428,46311.71345,24895.62679,4765.09592,53750.44888,56409.88119,25739.85144,34912.6774,35697.02935,29991.40736,34626.02397,46982.57558,59629.82713,27495.49413,32827.91014,36899.56001,30832.17712,34401.04828,47467.16165,57817.9914,26289.89995,32233.19647,32191.10978,28976.47063,30370.12658,44840.48224
222,4906.13101,15627.53876,21849.94117,46434.24417,52811.63073,24702.26529,4672.28787,53357.98122,4926.00351,15215.29017,19722.58247,41540.76833,50986.33151,25861.76626,5159.44512,55310.72582,5059.39485,15025.3864,18216.07064,36317.30476,46345.23782,24889.20893,4770.03197,53698.14963,56404.62706,25687.61715,34918.55913,35818.00978,30019.80245,34679.00799,46928.19186,59605.27571,27556.83138,32875.63671,36921.52,30880.05904,34538.34943,47587.72055,57835.6638,26315.96665,32317.06549,32361.70326,29119.15688,30462.70886,44924.16075
223,4906.71034,15594.17959,21826.31372,46370.74806,52675.54358,24718.42176,4671.09596,53440.32707,4924.00117,15224.09672,19746.52749,41631.25611,51105.44384,25914.58875,5152.14837,55438.90861,5081.13162,15021.46213,18248.02355,36382.43492,46392.74594,24899.06964,4770.34399,53739.71654,56244.54235,25498.20572,34935.85304,36013.33659,30086.26748,34704.66933,46844.73062,59640.42524,27603.27713,32789.8789,36967.17333,30906.68635,34610.78314,47695.57352,57838.5546,26334.98888,32352.35516,32449.23442,29218.05229,30561.23629,44924.72025
224,4900.90345,15526.05986,21803.10457,46350.58269,52640.51453,24693.80725,4671.36532,53433.10902,4931.00039,15227.36557,19760.50916,41596.75204,51200.48128,25925.86292,5152.71612,55605.30287,5062.71054,15024.48738,18237.00785,36378.47831,46386.24865,24909.68988,4757.11466,53802.57218,56191.51412,25555.73524,34956.61768,35954.1122,30052.08916,34652.55644,46902.91021,59696.80841,27620.75904,32713.95963,36954.05778,30900.89545,34603.26105,47684.85784,57859.85153,26366.66296,32413.78505,32378.07814,29196.6841,30625.4121,45008.24008
